rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,2,2,2
199,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,5,4,13
198,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,3,4,3
197,25,56,graphml/AttMpls.graphml,2,,9,clustered,0.5;-0.3,2,2,2
196,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,3,13,3
195,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
194,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,2,2,2
193,25,56,graphml/AttMpls.graphml,3,,8,clustered,0.5;-0.3,7,5,5
192,25,56,graphml/AttMpls.graphml,5,,6,clustered,0.5;-0.3,2,2,2
191,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,4,10,4
190,25,56,graphml/AttMpls.graphml,9,,15,clustered,0.5;-0.3,11,7,3
189,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,-1,-1,-1
188,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,3,6,3
187,25,56,graphml/AttMpls.graphml,3,,10,clustered,0.5;-0.3,9,4,11
186,25,56,graphml/AttMpls.graphml,4,,13,clustered,0.5;-0.3,3,3,5
185,25,56,graphml/AttMpls.graphml,2,,4,clustered,0.5;-0.3,4,5,4
184,25,56,graphml/AttMpls.graphml,5,,6,clustered,0.5;-0.3,3,3,3
183,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,2,3,2
182,25,56,graphml/AttMpls.graphml,2,,6,clustered,0.5;-0.3,6,6,6
181,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,3,3,3
180,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,4,4,4
179,25,56,graphml/AttMpls.graphml,4,,13,clustered,0.5;-0.3,5,2,9
178,25,56,graphml/AttMpls.graphml,4,,8,clustered,0.5;-0.3,17,11,-1
177,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,2,3,2
176,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,14,7,18
175,25,56,graphml/AttMpls.graphml,4,,8,clustered,0.5;-0.3,4,4,3
174,25,56,graphml/AttMpls.graphml,2,,4,clustered,0.5;-0.3,3,3,3
173,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,5,5,5
172,25,56,graphml/AttMpls.graphml,4,,10,clustered,0.5;-0.3,9,8,3
171,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,3,3,3
170,25,56,graphml/AttMpls.graphml,3,,9,clustered,0.5;-0.3,5,6,7
169,25,56,graphml/AttMpls.graphml,4,,10,clustered,0.5;-0.3,15,8,5
168,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,5,10,7
167,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,3,3,4
166,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,10,12,10
165,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,2,6,2
164,25,56,graphml/AttMpls.graphml,3,,13,clustered,0.5;-0.3,3,7,3
163,25,56,graphml/AttMpls.graphml,2,,7,clustered,0.5;-0.3,3,3,3
162,25,56,graphml/AttMpls.graphml,5,,8,clustered,0.5;-0.3,2,8,2
161,25,56,graphml/AttMpls.graphml,2,,7,clustered,0.5;-0.3,10,9,14
160,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,3,3,3
159,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,8,10,8
158,25,56,graphml/AttMpls.graphml,3,,13,clustered,0.5;-0.3,3,6,3
157,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,-1,-1,-1
156,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,5,7,9
155,25,56,graphml/AttMpls.graphml,2,,15,clustered,0.5;-0.3,2,2,2
154,25,56,graphml/AttMpls.graphml,3,,7,clustered,0.5;-0.3,12,16,18
153,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,7,7,7
152,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,3,3,3
151,25,56,graphml/AttMpls.graphml,2,,15,clustered,0.5;-0.3,9,9,7
150,25,56,graphml/AttMpls.graphml,2,,9,clustered,0.5;-0.3,39,9,-1
149,25,56,graphml/AttMpls.graphml,3,,8,clustered,0.5;-0.3,2,2,2
148,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,2,4,2
147,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,2,7,2
146,25,56,graphml/AttMpls.graphml,4,,13,clustered,0.5;-0.3,3,7,3
145,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,6,6,8
144,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,2,3,2
143,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
142,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,5,5,7
141,25,56,graphml/AttMpls.graphml,5,,6,clustered,0.5;-0.3,3,-1,3
140,25,56,graphml/AttMpls.graphml,2,,15,clustered,0.5;-0.3,2,3,2
139,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,3,3,3
138,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,2,2,2
137,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,3,3,3
136,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,4,4,4
135,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,4,4,4
134,25,56,graphml/AttMpls.graphml,2,,10,clustered,0.5;-0.3,6,8,10
133,25,56,graphml/AttMpls.graphml,3,,7,clustered,0.5;-0.3,4,7,4
132,25,56,graphml/AttMpls.graphml,2,,6,clustered,0.5;-0.3,4,7,4
131,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,16,8,-1
130,25,56,graphml/AttMpls.graphml,3,,9,clustered,0.5;-0.3,5,4,4
129,25,56,graphml/AttMpls.graphml,5,,6,clustered,0.5;-0.3,3,5,3
128,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,8,16,8
127,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,4,4,4
126,25,56,graphml/AttMpls.graphml,5,,8,clustered,0.5;-0.3,3,4,3
125,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,11,5,17
124,25,56,graphml/AttMpls.graphml,3,,11,clustered,0.5;-0.3,7,3,15
123,25,56,graphml/AttMpls.graphml,5,,9,clustered,0.5;-0.3,2,2,2
122,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,4,4,4
121,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,4,7,4
120,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,2,3,2
119,25,56,graphml/AttMpls.graphml,2,,10,clustered,0.5;-0.3,3,6,3
118,25,56,graphml/AttMpls.graphml,2,,13,clustered,0.5;-0.3,8,4,3
117,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,4,3,4
116,25,56,graphml/AttMpls.graphml,2,,10,clustered,0.5;-0.3,2,2,2
115,25,56,graphml/AttMpls.graphml,2,,10,clustered,0.5;-0.3,9,3,3
114,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,2,3,2
113,25,56,graphml/AttMpls.graphml,2,,13,clustered,0.5;-0.3,2,2,2
112,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,5,9,5
111,25,56,graphml/AttMpls.graphml,3,,10,clustered,0.5;-0.3,2,2,2
110,25,56,graphml/AttMpls.graphml,4,,9,clustered,0.5;-0.3,3,3,3
109,25,56,graphml/AttMpls.graphml,2,,15,clustered,0.5;-0.3,-1,-1,-1
108,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,2,8,2
107,25,56,graphml/AttMpls.graphml,4,,8,clustered,0.5;-0.3,3,3,3
106,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,10,14,4
105,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,5,4,7
104,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,2,3,2
103,25,56,graphml/AttMpls.graphml,2,,7,clustered,0.5;-0.3,10,9,14
102,25,56,graphml/AttMpls.graphml,4,,8,clustered,0.5;-0.3,3,3,3
101,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,4,4,4
100,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,7,7,7
99,25,56,graphml/AttMpls.graphml,5,,10,clustered,0.5;-0.3,2,8,2
98,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,-1,-1,-1
97,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,2,3,2
96,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,3,5,3
95,25,56,graphml/AttMpls.graphml,5,,10,clustered,0.5;-0.3,-1,-1,-1
94,25,56,graphml/AttMpls.graphml,4,,13,clustered,0.5;-0.3,3,3,5
93,25,56,graphml/AttMpls.graphml,3,,10,clustered,0.5;-0.3,3,5,3
92,25,56,graphml/AttMpls.graphml,2,,6,clustered,0.5;-0.3,9,10,3
91,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
90,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,6,7,6
89,25,56,graphml/AttMpls.graphml,5,,9,clustered,0.5;-0.3,3,5,3
88,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
87,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,2,2,2
86,25,56,graphml/AttMpls.graphml,4,,8,clustered,0.5;-0.3,21,3,-1
85,25,56,graphml/AttMpls.graphml,5,,6,clustered,0.5;-0.3,16,33,-1
84,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,21,5,13
83,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,10,3,5
82,25,56,graphml/AttMpls.graphml,3,,7,clustered,0.5;-0.3,3,7,3
81,25,56,graphml/AttMpls.graphml,4,,6,clustered,0.5;-0.3,13,3,3
80,25,56,graphml/AttMpls.graphml,4,,6,clustered,0.5;-0.3,2,2,2
79,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,5,9,5
78,25,56,graphml/AttMpls.graphml,2,,8,clustered,0.5;-0.3,3,3,-1
77,25,56,graphml/AttMpls.graphml,2,,9,clustered,0.5;-0.3,3,3,3
76,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,2,2,2
75,25,56,graphml/AttMpls.graphml,6,,13,clustered,0.5;-0.3,4,7,8
74,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,3,9,5
73,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,2,2,2
72,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,2,2,2
71,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,4,3,3
70,25,56,graphml/AttMpls.graphml,3,,7,clustered,0.5;-0.3,3,30,3
69,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,2,6,2
68,25,56,graphml/AttMpls.graphml,3,,10,clustered,0.5;-0.3,2,2,2
67,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,9,8,9
66,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,3,12,3
65,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,2,2,2
64,25,56,graphml/AttMpls.graphml,2,,2,clustered,0.5;-0.3,4,4,4
63,25,56,graphml/AttMpls.graphml,5,,8,clustered,0.5;-0.3,2,3,2
62,25,56,graphml/AttMpls.graphml,5,,8,clustered,0.5;-0.3,4,2,3
61,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,9,9,9
60,25,56,graphml/AttMpls.graphml,4,,10,clustered,0.5;-0.3,2,6,2
59,25,56,graphml/AttMpls.graphml,2,,9,clustered,0.5;-0.3,3,11,3
58,25,56,graphml/AttMpls.graphml,6,,13,clustered,0.5;-0.3,2,2,2
57,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,3,14,3
56,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,3,4,3
55,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,4,-1,4
54,25,56,graphml/AttMpls.graphml,2,,6,clustered,0.5;-0.3,3,3,3
53,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,4,4,4
52,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,9,8,9
51,25,56,graphml/AttMpls.graphml,4,,6,clustered,0.5;-0.3,2,2,2
50,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,5,10,5
49,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,2,5,2
48,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
47,25,56,graphml/AttMpls.graphml,2,,13,clustered,0.5;-0.3,5,3,4
46,25,56,graphml/AttMpls.graphml,3,,13,clustered,0.5;-0.3,4,4,6
45,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,15,11,-1
44,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,5,22,5
43,25,56,graphml/AttMpls.graphml,4,,8,clustered,0.5;-0.3,5,13,7
42,25,56,graphml/AttMpls.graphml,2,,10,clustered,0.5;-0.3,14,-1,-1
41,25,56,graphml/AttMpls.graphml,5,,9,clustered,0.5;-0.3,10,3,3
40,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,4,4,4
39,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,3,9,5
38,25,56,graphml/AttMpls.graphml,3,,4,clustered,0.5;-0.3,4,4,4
37,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,3,4,3
36,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,3,11,3
35,25,56,graphml/AttMpls.graphml,4,,5,clustered,0.5;-0.3,8,-1,-1
34,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,2,3,2
33,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,4,4,4
32,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,2,8,2
31,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,4,4,4
30,25,56,graphml/AttMpls.graphml,4,,13,clustered,0.5;-0.3,10,6,-1
29,25,56,graphml/AttMpls.graphml,4,,6,clustered,0.5;-0.3,4,4,4
28,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,3,3,3
27,25,56,graphml/AttMpls.graphml,3,,3,clustered,0.5;-0.3,4,4,4
26,25,56,graphml/AttMpls.graphml,4,,6,clustered,0.5;-0.3,3,4,3
25,25,56,graphml/AttMpls.graphml,3,,5,clustered,0.5;-0.3,4,8,4
24,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,4,16,4
23,25,56,graphml/AttMpls.graphml,3,,7,clustered,0.5;-0.3,3,3,3
22,25,56,graphml/AttMpls.graphml,3,,9,clustered,0.5;-0.3,3,3,3
21,25,56,graphml/AttMpls.graphml,3,,7,clustered,0.5;-0.3,4,4,4
20,25,56,graphml/AttMpls.graphml,2,,5,clustered,0.5;-0.3,-1,-1,-1
19,25,56,graphml/AttMpls.graphml,4,,7,clustered,0.5;-0.3,2,2,2
18,25,56,graphml/AttMpls.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
17,25,56,graphml/AttMpls.graphml,2,,15,clustered,0.5;-0.3,9,7,3
16,25,56,graphml/AttMpls.graphml,3,,6,clustered,0.5;-0.3,26,10,28
