Avg. Hops of Tree with Header,Avg. Hops of EDP with Header,Avg. Hops of MutipleTree,Resilience of Tree with Header,Resilience of EDP with Header,Resilience of Tree
2.77,2.79,3.115,1.0,1.0,1.0
3.025,3.025,3.305,1.0,1.0,1.0
3.23,3.1218274111675126,3.58,1.0,0.985,1.0
3.443298969072165,3.389473684210526,3.5927835051546393,0.97,0.95,0.97
3.531578947368421,3.3405405405405406,3.8789473684210525,0.95,0.925,0.95
4.021505376344086,3.9385474860335195,4.311475409836065,0.93,0.895,0.915
4.182857142857143,3.738853503184713,4.251497005988024,0.875,0.785,0.835
3.7797619047619047,3.6459627329192545,4.39375,0.84,0.805,0.8
4.297297297297297,3.7007299270072993,3.971830985915493,0.74,0.685,0.71
4.1678832116788325,3.8046875,3.9923076923076923,0.685,0.64,0.65
3.9262295081967213,3.5526315789473686,4.067796610169491,0.61,0.57,0.59
3.9421487603305785,3.831858407079646,4.37037037037037,0.605,0.565,0.54
4.802197802197802,3.9878048780487805,4.4,0.455,0.41,0.425
4.166666666666667,3.6705882352941175,4.076923076923077,0.48,0.425,0.455
3.8505747126436782,3.567901234567901,4.08641975308642,0.435,0.405,0.405
4.6,3.883720930232558,4.247191011235955,0.475,0.43,0.445
4.292134831460674,3.5128205128205128,3.8076923076923075,0.445,0.39,0.39
4.8059701492537314,4.0,4.120689655172414,0.335,0.3,0.29
4.902439024390244,3.9295774647887325,4.273972602739726,0.41,0.355,0.365
4.277777777777778,3.7804878048780486,3.7901234567901234,0.45,0.41,0.405
5.0675675675675675,4.2,4.21875,0.37,0.325,0.32
4.1692307692307695,3.607142857142857,3.7142857142857144,0.325,0.28,0.28
4.327868852459017,3.5555555555555554,3.7222222222222223,0.305,0.27,0.27
4.226415094339623,3.0217391304347827,3.3255813953488373,0.265,0.23,0.215
3.6808510638297873,3.340909090909091,3.975609756097561,0.235,0.22,0.205
