rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
199,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,5
198,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,4,4,4
197,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,5,5
196,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,7,6,7
195,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,-1
194,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,4,2
193,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,-1,-1,-1
192,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,6,2
191,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
190,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
189,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,3,-1
188,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
187,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,-1,-1,-1
186,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,4,3
185,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,3,2
184,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,6,9
183,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,3,3,3
182,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,-1,-1,-1
181,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
180,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
179,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
178,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
177,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
176,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
175,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,5,-1
174,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,21,11,-1
173,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,6,6,5
172,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
171,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
170,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,8,2
169,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,3,2
168,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
167,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,11,9,-1
166,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,4,19,4
165,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,8,4
164,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,3,3
163,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,4,3
162,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,4
161,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,10,4
160,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
159,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,5,2
158,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
157,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
156,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
155,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,-1,-1,-1
154,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,-1,-1,-1
153,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,6,4
152,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
151,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,4,2
150,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,-1,4
149,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,-1,5
148,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,5,5
147,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,3,7
146,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,11,9,-1
145,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,4,5
144,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,3,3
143,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,10,4
142,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
141,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,5,-1
140,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
139,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,5,5
138,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,3,2
137,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
136,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,3,2
135,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,3,3
134,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,-1,-1,-1
133,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,3,2
132,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,6,3
131,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,5,4
130,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
129,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,5,3,3
128,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,-1,-1,-1
127,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,9,5,10
126,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,7,11,13
125,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
124,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,2,2
123,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
122,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,5,4
121,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,4,3
120,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,8,6,10
119,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,3
118,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,5,5,5
117,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,5,22,5
116,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,-1,-1,-1
115,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
114,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,10,10,4
113,25,56,graphml/AttMpls.graphml,9,6,48,random,-1,-1,-1,-1
112,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
111,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,4,4,4
110,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,4,3
109,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
108,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,9,5,5
107,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,4,2
106,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,5,3,4
105,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
104,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
103,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
102,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
101,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,3
100,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,4,2
99,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,6,5
98,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,6,2
97,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,3,3
96,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,6,4
95,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,4,4
94,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,-1,-1,-1
93,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,-1,3
92,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,3
91,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,3
90,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
89,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
88,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
87,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,-1,-1,-1
86,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
85,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,-1,-1,-1
84,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,3,2
83,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,3
82,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,6,2
81,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,3,3,3
80,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,2,2
79,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,4
78,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
77,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
76,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,3,4
75,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,4,28
74,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,6,10,-1
73,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
72,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,2,2
71,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
70,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,11,4
69,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
68,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,2,2
67,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,5,3,3
66,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,10,2
65,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,2,2
64,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,-1,-1,-1
63,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,-1,-1,-1
62,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
61,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
60,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,3,3
59,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
58,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
57,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,5,5
56,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,4,4
55,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,3,2
54,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,2,2
53,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
52,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,9,15,5
51,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,2,2
50,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,-1,-1,-1
49,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,12,4,4
48,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,11,3,-1
47,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
46,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,8,12,8
45,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,-1,-1,-1
44,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,5,5,5
43,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,-1,-1,-1
42,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,4,4,4
41,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,2,2
40,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,2,4,2
39,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
38,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,14,-1,14
37,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,7,5,-1
36,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
35,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
34,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,2,2
33,25,56,graphml/AttMpls.graphml,6,6,30,random,-1,2,2,2
32,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,2,2
31,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,4,4,4
30,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,3,3,3
29,25,56,graphml/AttMpls.graphml,5,6,24,random,-1,2,6,2
28,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,2,3,2
27,25,56,graphml/AttMpls.graphml,4,6,18,random,-1,4,4,4
26,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,3,3,3
25,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,5,4,9
24,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,4,11,8
23,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,3,2
22,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,2,2
21,25,56,graphml/AttMpls.graphml,2,6,6,random,-1,2,3,2
20,25,56,graphml/AttMpls.graphml,3,6,12,random,-1,-1,-1,-1
