rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
199,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.8;-0.3,-1,-1,-1
198,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
197,197,243,graphml/Cogentco.graphml,1,,8,clustered,0.8;-0.3,-1,-1,-1
196,197,243,graphml/Cogentco.graphml,1,,2,clustered,0.8;-0.3,13,13,13
195,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
194,197,243,graphml/Cogentco.graphml,1,,4,clustered,0.8;-0.3,-1,-1,-1
193,197,243,graphml/Cogentco.graphml,2,,7,clustered,0.8;-0.3,-1,-1,-1
192,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.8;-0.3,-1,-1,-1
191,197,243,graphml/Cogentco.graphml,1,,13,clustered,0.8;-0.3,-1,-1,-1
190,197,243,graphml/Cogentco.graphml,2,,20,clustered,0.8;-0.3,-1,-1,-1
189,197,243,graphml/Cogentco.graphml,3,,11,clustered,0.8;-0.3,-1,-1,-1
188,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,23,47,23
187,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,-1,-1,-1
186,197,243,graphml/Cogentco.graphml,2,,8,clustered,0.8;-0.3,-1,-1,-1
185,197,243,graphml/Cogentco.graphml,1,,1,clustered,0.8;-0.3,12,12,12
184,197,243,graphml/Cogentco.graphml,2,,5,clustered,0.8;-0.3,4,11,4
183,197,243,graphml/Cogentco.graphml,2,,9,clustered,0.8;-0.3,-1,-1,-1
182,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,34,13,34
181,197,243,graphml/Cogentco.graphml,2,,6,clustered,0.8;-0.3,-1,-1,-1
180,197,243,graphml/Cogentco.graphml,1,,5,clustered,0.8;-0.3,13,13,13
179,197,243,graphml/Cogentco.graphml,2,,11,clustered,0.8;-0.3,-1,-1,-1
178,197,243,graphml/Cogentco.graphml,2,,13,clustered,0.8;-0.3,30,-1,30
