Avg. Hops of Tree with Header,Avg. Hops of EDP with Header,Avg. Hops of MutipleTree,Resilience of Tree with Header,Resilience of EDP with Header,Resilience of Tree
10.175,10.175,11.02,1.0,1.0,1.0
10.895,10.85,12.01,1.0,1.0,1.0
10.195979899497488,10.180904522613066,11.080402010050252,0.995,0.995,0.995
11.984848484848484,11.954545454545455,12.75257731958763,0.99,0.99,0.97
11.849246231155778,11.864321608040202,12.427835051546392,0.995,0.995,0.97
12.728643216080402,12.608040201005025,12.278947368421052,0.995,0.995,0.95
12.33502538071066,12.395939086294415,12.935135135135136,0.985,0.985,0.925
13.186528497409327,12.287958115183246,13.015706806282722,0.965,0.955,0.955
12.311827956989248,12.12972972972973,11.268571428571429,0.93,0.925,0.875
11.73936170212766,11.72340425531915,11.192090395480227,0.94,0.94,0.885
11.891304347826088,11.951086956521738,11.93452380952381,0.92,0.92,0.84
12.834224598930481,12.550802139037433,11.982954545454545,0.935,0.935,0.88
11.932203389830509,11.943181818181818,12.91566265060241,0.885,0.88,0.83
14.196808510638299,13.70053475935829,12.625730994152047,0.94,0.935,0.855
13.935672514619883,13.811764705882354,13.282208588957054,0.855,0.85,0.815
13.376404494382022,13.685393258426966,12.5,0.89,0.89,0.82
13.221556886227544,13.127272727272727,12.159722222222221,0.835,0.825,0.72
13.204819277108435,12.685185185185185,12.64,0.83,0.81,0.75
15.296511627906977,14.0,12.75,0.86,0.845,0.72
12.031847133757962,12.203821656050955,11.46808510638298,0.785,0.785,0.705
14.40764331210191,13.616883116883116,13.278571428571428,0.785,0.77,0.7
12.344370860927153,11.666666666666666,12.50381679389313,0.755,0.75,0.655
12.76,12.806666666666667,11.822222222222223,0.75,0.75,0.675
12.16891891891892,11.710344827586207,10.65079365079365,0.74,0.725,0.63
13.722972972972974,12.462068965517242,11.671875,0.74,0.725,0.64
