rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,17,17,17
199,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,15,15,15
198,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,18,-1,18
197,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,3,3,3
196,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,5,5,5
195,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,7,7,7
194,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,7,7,7
193,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,31,23,31
192,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,4,4,4
191,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,55,19,29
190,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,19,28,19
189,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
188,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,18,18,18
187,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,11,11,11
186,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,9,21,9
185,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,3,3,3
184,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,11,-1,11
183,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,11,11,11
182,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,22,-1,22
181,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,2,2,2
180,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,13,-1,13
179,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
178,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
177,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,8,8,8
176,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,17,-1,17
175,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,10,10,10
174,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,21,21,21
173,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,67,9,55
172,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,3,3,3
171,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,53,-1,53
170,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,5,5,5
169,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
168,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,19,19,19
167,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,10,10,10
166,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,9,9,9
165,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,9,9,9
164,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,6,6,6
163,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
162,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
161,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
160,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,26,18,26
159,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
158,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,64,26,64
157,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
156,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,5,5,5
155,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,24,8,14
154,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,28,28,28
153,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,2,2,2
152,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,10,10,10
151,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
150,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,7,16,7
149,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,5,5,5
148,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,8,8,8
147,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,3,3,3
146,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
145,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,5,5,5
144,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,6,6,6
143,197,243,graphml/Cogentco.graphml,3,23,46,random,-1,9,-1,9
142,197,243,graphml/Cogentco.graphml,1,23,0,random,-1,6,6,6
141,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,18,31,18
140,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,20,-1,20
139,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,21,-1,19
138,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,9,9,9
137,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,13,14,13
136,197,243,graphml/Cogentco.graphml,2,23,23,random,-1,-1,-1,-1
