rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,7,7,7
199,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,5,5,5
198,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,8,10,8
197,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,9,11,9
196,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,11,11,11
195,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,10,10,10
194,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,6,6,6
193,93,103,graphml/Oteglobe.graphml,3,,0,clustered,0.1;-0.3,3,3,3
192,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,12,12,12
191,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,8,8,8
190,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,7,7,7
189,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,6,6,6
188,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,9,10,9
187,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,8,8,8
186,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,5,5,5
185,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,10,10,10
184,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,3,3,3
183,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,7,7,7
182,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,7,7,7
181,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,8,8,8
180,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,3,6,3
179,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,4,4,4
178,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,7,9,7
177,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,4,4,4
176,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,7,7,7
175,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,6,6,6
174,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,10,10,10
173,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,7,7,7
172,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,4,4,4
171,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,8,8,8
170,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,11,11,11
169,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,6,10,6
168,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,8,8,8
167,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,9,9,9
166,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,3,3,3
165,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,10,10,10
164,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,2,2,2
163,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,10,10,10
162,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,11,11,11
161,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,4,4,4
160,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,9,9,9
159,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,8,8,8
158,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,10,10,10
157,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,9,10,9
156,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,7,7,7
155,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,4,5,4
154,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.1;-0.3,9,9,9
153,93,103,graphml/Oteglobe.graphml,2,,0,clustered,0.1;-0.3,9,10,9
