rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
199,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,21,26,21
198,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,23,23,23
197,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
196,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
195,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,12,-1,-1
194,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,13,25,13
193,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,8,26,8
192,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,12,12,12
191,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,10,9,10
190,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,11,11,11
189,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.5;-0.3,25,45,-1
188,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,12,39,12
187,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,10,-1,-1
186,93,103,graphml/Oteglobe.graphml,2,,6,clustered,0.5;-0.3,20,20,48
185,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
184,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,8,8,8
183,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,12,12,12
182,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,8,8,8
181,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,10,12,10
180,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
179,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,10,10,10
178,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.5;-0.3,13,13,13
177,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,8,8,8
176,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
175,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,7,7,7
174,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,5,5,5
173,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,6,6,6
172,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
171,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,3,3,3
170,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
169,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,8,8,8
168,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,12,26,12
167,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.5;-0.3,15,19,15
166,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
165,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
164,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,15,28,15
163,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,24,10,14
162,93,103,graphml/Oteglobe.graphml,2,,1,clustered,0.5;-0.3,19,32,19
161,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.5;-0.3,-1,-1,-1
160,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,13,29,13
159,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,10,10,10
158,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,5,36,5
157,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
156,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,10,10,10
155,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,15,29,15
154,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
153,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,7,8,7
152,93,103,graphml/Oteglobe.graphml,3,,6,clustered,0.5;-0.3,-1,-1,-1
151,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
150,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,3,3,3
149,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,12,12,12
148,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,9,9,9
147,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,4,4,4
146,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
145,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
144,93,103,graphml/Oteglobe.graphml,2,,5,clustered,0.5;-0.3,29,29,25
143,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,11,25,11
142,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,9,10,9
141,93,103,graphml/Oteglobe.graphml,3,,4,clustered,0.5;-0.3,8,8,8
140,93,103,graphml/Oteglobe.graphml,3,,3,clustered,0.5;-0.3,25,27,129
139,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
138,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
137,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,5,5,5
136,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,5,5,5
135,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
134,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,-1,-1,-1
133,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,5,5,5
132,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,14,14,14
131,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,13,13,13
130,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,9,9,9
129,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,7,7,7
128,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,-1,-1,-1
127,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.5;-0.3,5,5,5
126,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,11,35,11
125,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,10,23,10
124,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,9,32,9
123,93,103,graphml/Oteglobe.graphml,3,,6,clustered,0.5;-0.3,8,8,8
122,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,6,6,6
121,93,103,graphml/Oteglobe.graphml,1,,3,clustered,0.5;-0.3,7,7,7
120,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,7,7,7
119,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,-1,-1,-1
118,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.5;-0.3,8,8,8
117,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,6,6,6
116,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,5,5,5
115,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,10,10,10
114,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,8,8,8
113,93,103,graphml/Oteglobe.graphml,1,,0,clustered,0.5;-0.3,9,9,9
112,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
111,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,10,26,10
110,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,8,22,8
109,93,103,graphml/Oteglobe.graphml,1,,2,clustered,0.5;-0.3,-1,-1,-1
108,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,8,8,8
107,93,103,graphml/Oteglobe.graphml,2,,4,clustered,0.5;-0.3,21,32,45
106,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,6,6,6
105,93,103,graphml/Oteglobe.graphml,1,,1,clustered,0.5;-0.3,19,27,19
104,93,103,graphml/Oteglobe.graphml,2,,2,clustered,0.5;-0.3,7,22,7
103,93,103,graphml/Oteglobe.graphml,2,,3,clustered,0.5;-0.3,20,20,56
102,93,103,graphml/Oteglobe.graphml,3,,4,clustered,0.5;-0.3,3,3,3
