Avg. Hops of Tree with Header,Avg. Hops of EDP with Header,Avg. Hops of MutipleTree,Resilience of Tree with Header,Resilience of EDP with Header,Resilience of Tree
7.165,7.175,7.505,1.0,1.0,1.0
7.065,6.96,7.28140703517588,1.0,1.0,0.995
7.517587939698492,7.708542713567839,7.38265306122449,0.995,0.995,0.98
7.834170854271357,7.819095477386934,8.01015228426396,0.995,0.995,0.985
8.38341968911917,8.2279792746114,8.091397849462366,0.965,0.965,0.93
8.17989417989418,7.9787234042553195,8.005405405405405,0.945,0.94,0.925
7.398936170212766,7.172043010752688,7.60655737704918,0.94,0.93,0.915
8.505555555555556,8.184357541899441,8.632183908045977,0.9,0.895,0.87
7.423728813559322,7.327683615819209,7.597633136094674,0.885,0.885,0.845
9.445054945054945,9.083798882681565,8.428571428571429,0.91,0.895,0.875
7.9879518072289155,7.9156626506024095,7.256578947368421,0.83,0.83,0.76
7.549382716049383,7.6645962732919255,7.160256410256411,0.81,0.805,0.78
8.213836477987421,8.452830188679245,7.939597315436242,0.795,0.795,0.745
7.987261146496815,8.153846153846153,7.666666666666667,0.785,0.78,0.75
7.852760736196319,7.701863354037267,7.317880794701987,0.815,0.805,0.755
7.582278481012659,7.407643312101911,7.493333333333333,0.79,0.785,0.75
7.3580246913580245,7.25,7.6092715231788075,0.81,0.8,0.755
7.957746478873239,7.943661971830986,7.615942028985507,0.71,0.71,0.69
7.323943661971831,7.50354609929078,6.911764705882353,0.71,0.705,0.68
7.572463768115942,7.572463768115942,7.174242424242424,0.69,0.69,0.66
7.6692307692307695,7.565891472868217,6.7560975609756095,0.65,0.645,0.615
8.161538461538461,7.409448818897638,6.743589743589744,0.65,0.635,0.585
7.073529411764706,6.962962962962963,6.714285714285714,0.68,0.675,0.63
7.3,7.736434108527132,6.798319327731092,0.65,0.645,0.595
7.358974358974359,7.318965517241379,6.747747747747748,0.585,0.58,0.555
