rep,nrNodes,nrEdges,edgeProb,nrPaths,failure rate,noFailed,failureModel,failurePercent,hopsWithHeader,hopsMultipleTree,hopsOfEDPWithHeader
200,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
199,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,8,8,8
198,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,21,-1,21
197,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,4,4,4
196,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,10,10,10
195,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
194,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,3,3,3
193,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,8,8,8
192,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,4,4,4
191,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,4,4,4
190,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,7,7,7
189,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,10,10,10
188,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
187,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,6,6,6
186,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
185,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,11,11,11
184,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,15,-1,11
183,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,6,6,6
182,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
181,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,9,9,9
180,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,7,7,7
179,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,4,4,4
178,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,8,-1,8
177,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
176,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,3,3,3
175,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,9,9,9
174,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,4,4,4
173,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
172,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
171,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
170,93,103,graphml/Oteglobe.graphml,2,24,24,random,-1,-1,-1,-1
169,93,103,graphml/Oteglobe.graphml,1,24,0,random,-1,11,11,11
